device,start_time,data_extra,mbrt
device2,1717965258,"{""1"": ""13582"", ""2"": ""14803"", ""3"": ""13359"", ""4"": ""16058"", ""5"": ""20117"", ""6"": ""16317""}",112
device2,1717961133,"{""1"": ""9293"", ""2"": ""10343"", ""3"": ""9054"", ""4"": ""11118"", ""5"": ""13931"", ""6"": ""11024""}",85
device2,1720042263,"{""1"": ""10805"", ""2"": ""16851"", ""3"": ""6430"", ""4"": ""16655"", ""5"": ""11263"", ""6"": ""17401""}",112
device2,1720098595,"{""1"": ""14130"", ""2"": ""10714"", ""3"": ""10267"", ""4"": ""11167"", ""5"": ""15038"", ""6"": ""11659""}",114
device2,1720099719,"{""1"": ""11942"", ""2"": ""9620"", ""3"": ""8567"", ""4"": ""9933"", ""5"": ""12460"", ""6"": ""9888""}",146
device2,1720100944,"{""1"": ""11349"", ""2"": ""16790"", ""3"": ""7619"", ""4"": ""17114"", ""5"": ""11878"", ""6"": ""17646""}",201
device2,1720104458,"{""1"": ""11171"", ""2"": ""16079"", ""3"": ""8126"", ""4"": ""16853"", ""5"": ""11651"", ""6"": ""17158""}",103
device2,1720107465,"{""1"": ""16349"", ""2"": ""12603"", ""3"": ""11984"", ""4"": ""13322"", ""5"": ""16816"", ""6"": ""13199""}",68
device2,1720123997,"{""1"": ""17568"", ""2"": ""13546"", ""3"": ""11976"", ""4"": ""13228"", ""5"": ""17280"", ""6"": ""13564""}",168
device2,1720127536,"{""1"": ""13389"", ""2"": ""9716"", ""3"": ""8789"", ""4"": ""9303"", ""5"": ""13091"", ""6"": ""9892""}",113
device2,1717104542,"{""1"": ""17269"", ""2"": ""13249"", ""3"": ""11871"", ""4"": ""12954"", ""5"": ""17254"", ""6"": ""13363""}",104
device2,1720121374,"{""1"": ""17427"", ""2"": ""13198"", ""3"": ""11844"", ""4"": ""13198"", ""5"": ""17228"", ""6"": ""13168""}",147
device2,1719948928,"{""1"": ""10632"", ""2"": ""15731"", ""3"": ""6444"", ""4"": ""15912"", ""5"": ""10949"", ""6"": ""17014""}",78
device2,1718520431,"{""1"": ""10518"", ""2"": ""14948"", ""3"": ""10816"", ""4"": ""14566"", ""5"": ""10704"", ""6"": ""15545"", ""7"": ""0""}",0
device2,1722864585,"{""1"": ""14943"", ""2"": ""22536"", ""3"": ""9342"", ""4"": ""21568"", ""5"": ""14717"", ""6"": ""21994""}",103
